paragraph_id,content
Rolling_in_the_Deep-Music_video,"<font color=""blue"">Question</font>: Who directed the music video for Rolling in the Deep?<br/><font color=""blue"">Sentence(s)</font>: The music video for ""Rolling in the Deep,"" directed by Sam Brown, premiered on Channel 4 on 3 December 2010.The video begins in an abandoned house, where Adele is sitting in a chair singing."
Gangnam_Style-Production,"<font color=""blue"">Question</font>: How old is Hwang Min-woo?<br/><font color=""blue"">Sentence(s)</font>:  Hwang Min-woo, a 7-year-old boy who dances at the beginning of the video."
Let_It_Be-Recording_sessions,"<font color=""blue"">Question</font>: What date did the Beatles perform their Rooftop Concert at the Apple Building?<br/><font color=""blue"">Sentence(s)</font>: Preston worked with the Beatles throughout their stay at Apple Studios.The live concert idea culminated with the Beatles and Preston performing on 30 January on the rooftop of the Beatles' Apple Building at 3 Savile Row before a small audience of friends and employees."
Hey_Jude-Cover_versions,"<font color=""blue"">Question</font>: In what year was a version of the song performed on the TV show Glee?<br/><font color=""blue"">Sentence(s)</font>: The song was performed by the members of glee club in the 2013 ""Glee"" episode ""Tina in the Sky with Diamonds"" and the soundtrack ""Glee Sings the Beatles"", in which the song is shortened to four minutes and fifty-one seconds."
I_Want_to_Hold_Your_Hand-Personnel,"<font color=""blue"">Question</font>: Who plays the drums?<br/><font color=""blue"">Sentence(s)</font>: Ringo Starr – drums, handclaps"
Every_Breath_You_Take-Abstract,"<font color=""blue"">Question</font>: Who sang Every Breath You Take and how did it perform?<br/><font color=""blue"">Sentence(s)</font>: ""Every Breath You Take"" is a song by The Police on the band's 1983 album ""Synchronicity"", written by Sting.</br>The single entered the charts at position 36 on 4 June 1983.</br>The single was one of the biggest hits of 1983, topping the Billboard Hot 100 singles chart for eight weeks and the UK Singles Chart for four weeks.</br>It also topped the ""Billboard"" Top Tracks chart for nine weeks.At the 26th Annual Grammy Awards the song was nominated for three Grammy Awards including Song of the Year, Record of the Year, and Best Pop Performance by a Duo or Group with Vocals.</br>84 on the ""Rolling Stone"" list of the 500 Greatest Songs of All Time the highest position of any new wave rock song.</br>25 on ""Billboard""'s Hot 100 All-Time Top Songs.</br>The song is considered to be The Police's signature song, and in 2010 was estimated to generate between a quarter and a third of Sting's music publishing income.In the USA, Every Breath You Take was the best-selling single of 1983 and fifth best-selling single of the decade."
Free_Bird-In_popular_culture,"<font color=""blue"">Question</font>: What instrument did Will Ferrell play?<br/><font color=""blue"">Sentence(s)</font>: Ferrell also played Cowbell."
Counting_Stars-Music_video,"<font color=""blue"">Question</font>: What year was Counting Stars music video filmed?<br/><font color=""blue"">Sentence(s)</font>: The music video was filmed on May 10, 2013, in New Orleans, Louisiana, and premiered on May 31, 2013."
How_to_Save_a_Life-Personnel,"<font color=""blue"">Question</font>: Who did lead vocals and piano?<br/><font color=""blue"">Sentence(s)</font>: Isaac Slade - lead vocals, piano"
Wake_Me_Up_When_September_Ends-Abstract,"<font color=""blue"">Question</font>: In what year was Wake Me Up When September Ends released?<br/><font color=""blue"">Sentence(s)</font>: It was released in June 2005 as the fourth single from their seventh album, ""American Idiot"".The song deals with the death of lead singer Billie Joe Armstrong's father, who died when Armstrong was a child.The single peaked at number six in the United States, becoming Green Day's third Top 10 single."
