paragraph_id,content
Andy_Warhol-1960s,"Category: Art<br/>Title: Andy Warhol<br/>Section: 1960s<br/><br/>1. He began exhibiting his work during the 1950s.<br/>2. He held exhibitions at the Hugo Gallery, and the Bodley Gallery in New York City and in California his first West Coast gallery exhibition was on July 9, 1962, in the Ferus Gallery of Los Angeles.<br/>3. The exhibition marked his West Coast debut of pop art.Andy Warhol's first New York solo pop art exhibition was hosted at Eleanor Ward's Stable Gallery November 6–24, 1962.<br/>4. The exhibit included the works ""Marilyn Diptych"", ""100 Soup Cans"", ""100 Coke Bottles,"" and ""100 Dollar Bills"".<br/>5. At the Stable Gallery exhibit, the artist met for the first time poet John Giorno who would star in Warhol's first film, ""Sleep"", in 1963.It was during the 1960s that Warhol began to make paintings of iconic American objects such as dollar bills, mushroom clouds, electric chairs, Campbell's Soup Cans, Coca-Cola bottles, celebrities such as Marilyn Monroe, Elvis Presley, Marlon Brando, Troy Donahue, Muhammad Ali, and Elizabeth Taylor, as well as newspaper headlines or photographs of police dogs attacking civil rights protesters.<br/>6. During these years, he founded his studio, ""The Factory"" and gathered about him a wide range of artists, writers, musicians, and underground celebrities.<br/>7. His work became popular and controversial.<br/>8. Warhol had this to say about Coca Cola:New York's Museum of Modern Art hosted a Symposium on pop art in December 1962 during which artists like Warhol were attacked for ""capitulating"" to consumerism.<br/>9. Critics were scandalized by Warhol's open embrace of market culture.<br/>10. This symposium set the tone for Warhol's reception.<br/>11. Throughout the decade it became increasingly clear that there had been a profound change in the culture of the art world, and that Warhol was at the center of that shift.A pivotal event was the 1964 exhibit ""The American Supermarket"", a show held in Paul Bianchini's Upper East Side gallery.<br/>12. The show was presented as a typical U.S. small supermarket environment, except that everything in it—from the produce, canned goods, meat, posters on the wall, etc.—was created by six prominent pop artists of the time, among them the controversial (and like-minded) Billy Apple, Mary Inman, and Robert Watts.<br/>13. Warhol's painting of a can of Campbell's soup cost $1,500 while each autographed can sold for $6.<br/>14. The exhibit was one of the first mass events that directly confronted the general public with both pop art and the perennial question of what art is.As an advertisement illustrator in the 1950s, Warhol used assistants to increase his productivity.<br/>15. Collaboration would remain a defining (and controversial) aspect of his working methods throughout his career; this was particularly true in the 1960s.<br/>16. One of the most important collaborators during this period was Gerard Malanga.<br/>17. Malanga assisted the artist with the production of silkscreens, films, sculpture, and other works at ""The Factory,"" Warhol's aluminum foil-and-silver-paint-lined studio on 47th Street (later moved to Broadway).<br/>18. Other members of Warhol's Factory crowd included Freddie Herko, Ondine, Ronald Tavel, Mary Woronov, Billy Name, and Brigid Berlin (from whom he apparently got the idea to tape-record his phone conversations).During the 1960s, Warhol also groomed a retinue of bohemian and counterculture eccentrics upon whom he bestowed the designation ""Superstars"", including Nico, Joe Dallesandro, Edie Sedgwick, Viva, Ultra Violet, Holly Woodlawn, Jackie Curtis, and Candy Darling.<br/>19. These people all participated in the Factory films, and some—like Berlin—remained friends with Warhol until his death.<br/>20. Important figures in the New York underground art/cinema world, such as writer John Giorno and film-maker Jack Smith, also appear in Warhol films of the 1960s, revealing Warhol's connections to a diverse range of artistic scenes during this time.<br/>"
Snowboarding-Slopestyle,"Category: Sport<br/>Title: Snowboarding<br/>Section: Slopestyle<br/><br/>1. Competitors perform tricks while descending a course, moving around, over, across, up, or down terrain features.<br/>2. The course is full of obstacles including boxes, rails, jumps, jibs (includes anything the board or rider can slide across).Slope-style contests consists of choosing your own line in a terrain park using a variety of boxes, jibs and jumps.<br/>3. To win a slope-style contest one must pick the best and most difficult line in the terrain park and have a smooth flowing line of tricks performed on the obstacles.<br/>4. Overall impression is also a huge factor in winning a slope-style contest.<br/>5. The rider who lands the hardest tricks will not always win over the rider who lands easy<br/>"
Egypt-Dance_in_Egypt,"Category: Country<br/>Title: Egypt<br/>Section: Dance in Egypt<br/><br/>1. Today, Egypt is often considered the home of belly dance.<br/>2. Egyptian belly dance has two main styles - raqs baladi and raqs sharqi.<br/>3. There are also numerous folkloric and character dances that may be part of an Egyptian-style belly dancer's repertoire, as well as the modern shaabi street dance which shares some elements with raqs baladi.Samia Gamal was the most famous dancer in Egypt.<br/>"
Taco-Abstract,"Category: Food<br/>Title: Taco<br/>Section: Abstract<br/><br/>1. A taco () is a traditional Mexican dish composed of a corn or wheat tortilla folded or rolled around a filling.<br/>2. A taco can be made with a variety of fillings, including beef, pork, chicken, seafood, vegetables and cheese, allowing for great versatility and variety.<br/>3. A taco is generally eaten without utensils and is often accompanied by garnishes such as salsa, avocado or guacamole, cilantro, tomatoes, minced meat, onions and lettuce.<br/>"
Dora_Maar_au_Chat-Abstract,"Category: Art<br/>Title: Dora Maar au Chat<br/>Section: Abstract<br/><br/>1. Dora Maar au Chat (""Dora Maar with Cat"") is a 1941 painting by Pablo Picasso.<br/>2. It depicts Dora Maar, the painter's lover, seated on a chair with a small cat perched on her shoulders.<br/>3. This work is one of the world's most expensive paintings.<br/>"
Donatello-Main_works,"Category: Art<br/>Title: Donatello<br/>Section: Main works<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp; ""St. Mark"" (1411–1413), Orsanmichele, Florence<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp; St. George Tabernacle (c. 1415–1417) — Museo Nazionale del Bargello, Florence<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp; ""Prophet Habacuc"" (1423–1425) — Museo dell'Opera del Duomo, Florence<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp; ""The Feast of Herod"" (c. 1425) — Baptismal font, Baptistry of San Giovanni, Siena<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp; ""David"" (c. 1425–1430) — Museo Nazionale del Bargello, Florence<br/>6. •&nbsp;&nbsp;&nbsp;&nbsp; ""Madonna of the Clouds"" (c. 1425–35) marble relief, Museum of Fine Arts, Boston<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp; ""Equestrian Monument of Gattamelata"" (1445–1450) — Piazza del Santo, Padua<br/>8. •&nbsp;&nbsp;&nbsp;&nbsp; ""Magdalene Penitent"" (c. 1455) — Museo dell'Opera del Duomo, Florence<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp; ""Judith and Holofernes"" (1455–1460) — Palazzo Vecchio, Florence<br/>10. •&nbsp;&nbsp;&nbsp;&nbsp; ""Virgin and Child with Four Angels"" or ""Chellini Madonna"" (1456), Victoria and Albert Museum<br/>"
Protestant_Reformation-Polish_–_Lithuanian_Commonwealth,"Category: Historical Events<br/>Title: Protestant Reformation<br/>Section: Polish – Lithuanian Commonwealth<br/><br/>1. In the first half of the 16th century, the enormous Polish-Lithuanian Commonwealth was a country of many creeds, but Roman Catholic Church remained the dominating religion.<br/>2. Reformation reached Poland in the 1520s, and quickly gained popularity among mostly German-speaking inhabitants of such major cities, as Gdańsk, Toruń and Elbląg.<br/>3. In Koenigsberg, in 1530, Polish-language edition of Luther's Small Catechism was published.<br/>4. The Duchy of Prussia, which was a Polish fief, emerged as key center of the movement, with numerous publishing houses issuing not only Bibles, but also catechisms, in German, Polish and Lithuanian.Lutheranism gained popularity in northern part of the country, while Calvinism caught the interest of szlachta, mainly in Lesser Poland and the Grand Duchy of Lithuania.<br/>5. Several publishing houses were opened in Lesser Poland in mid-16th century, in such locations, as Słomniki and Raków.<br/>6. At that time, Mennonites and Czech Brothers came to Poland, with the latter ones settling mostly in Greater Poland, around Leszno.<br/>7. In 1565, Polish Brethren appeared as yet another reformation movement.The 16th century Commonwealth was unique in Europe, because of widespread tolerance, confirmed by the Warsaw Confederation.<br/>8. In 1563, the Brest Bible was published (see also Bible translations into Polish).<br/>9. The period of tolerance ended during the reign of King Sigismund III Vasa, who was under strong influence of Piotr Skarga and other Jesuits.<br/>10. After the Deluge, and other wars of the mid-17th century, in which all enemies of Poland were either Protestant or Orthodox Christians, the attitude of Poles changed.<br/>11. Counter-Reformation prevailed, in 1658 Polish Brethren were forced to leave the country, and in 1666, the Sejm banned apostasy from Catholicism to any other religion, under punishment of death.<br/>12. Finally, in 1717, the Silent Sejm banned non-Catholics from becoming deputies of the Parliament.Among most important Protestants of the Commonwealth, there are such names, as Mikołaj Rej, Marcin Czechowic, Andrzej Frycz Modrzewski and Symon Budny.<br/>"
Brazil-Culture,"Category: Country<br/>Title: Brazil<br/>Section: Culture<br/><br/>1. The core culture of Brazil is derived from Portuguese culture, because of its strong colonial ties with the Portuguese empire.<br/>2. Among other influences, the Portuguese introduced the Portuguese language, Roman Catholicism and colonial architectural styles.<br/>3. The culture was, however, also strongly influenced by African, indigenous and non-Portuguese European cultures and traditions.Some aspects of Brazilian culture were influenced by the contributions of Italian, German and other European as well Japanese, Jewish and Arab immigrants who arrived in large numbers in the South and Southeast of Brazil.<br/>4. The indigenous Amerindians influenced Brazil's language and cuisine; and the Africans influenced language, cuisine, music, dance and religion.Brazilian art has developed since the 16th century into different styles that range from Baroque (the dominant style in Brazil until the early 19th century) to Romanticism, Modernism, Expressionism, Cubism, Surrealism and Abstractionism.<br/>5. Brazilian cinema dates back to the birth of the medium in the late 19th century and has gained a new level of international acclaim since the 1960s.<br/>"
Vincent_van_Gogh-Portraits,"Category: Art<br/>Title: Vincent van Gogh<br/>Section: Portraits<br/><br/>1. Although Van Gogh is best known for his landscapes, he seemed to find painting portraits his greatest ambition.<br/>2. He said of portrait studies, ""The only thing in painting that excites me to the depths of my soul, and which makes me feel the infinite more than anything else.<br/>3. ""To his sister he wrote, ""I should like to paint portraits which appear after a century to people living then as apparitions.<br/>4. By which I mean that I do not endeavor to achieve this through photographic resemblance, but my means of our impassioned emotions – that is to say using our knowledge and our modern taste for color as a means of arriving at the expression and the intensification of the character.<br/>5. ""Of painting portraits, Van Gogh wrote: ""in a picture I want to say something comforting as music is comforting.<br/>6. I want to paint men and women with that something of the eternal which the halo used to symbolize, and which we seek to communicate by the actual radiance and vibration of our coloring.""<br/>"
India-Motion_pictures,"Category: Country<br/>Title: India<br/>Section: Motion pictures<br/><br/>1. The Indian film industry produces the world's most-watched cinema.<br/>2. Established regional cinematic traditions exist in the Assamese, Bengali, Hindi, Kannada, Malayalam, Punjabi, Gujarati, Marathi, Oriya, Tamil, and Telugu languages.<br/>3. South Indian cinema attracts more than 75% of national film revenue.<br/>4. Television broadcasting began in India in 1959 as a state-run medium of communication, and had slow expansion for more than two decades.<br/>5. The state monopoly on television broadcast ended in the 1990s and, since then, satellite channels have increasingly shaped popular culture of Indian society.<br/>6. Today, television is the most penetrative media in India; industry estimates indicate that as of 2012 there are over 554 million TV consumers, 462 million with satellite and/or cable connections, compared to other forms of mass media such as press (350 million), radio (156 million) or internet (37 million).<br/>"
Salvador_Dalí-Final_years,"Category: Art<br/>Title: Salvador Dalí<br/>Section: Final years<br/><br/>1. In 1980 at age 76, Dalí's health took a catastrophic turn.<br/>2. His right hand trembled terribly, with Parkinson-like symptoms.<br/>3. His near-senile wife, Gala Dalí, allegedly had been dosing him with a dangerous cocktail of unprescribed medicine that damaged his nervous system, thus causing an untimely end to his artistic capacity.<br/>4. In 1982, King Juan Carlos bestowed on Dalí the title of ""Marqués de Dalí de Púbol"" (""Marquis of Dalí de Púbol"") in the nobility of Spain, hereby referring to Púbol, the place where he lived.<br/>5. The title was in first instance hereditary, but on request of Dalí changed to life only in 1983.<br/>6. To show his gratitude for this, Dalí later gave the king a drawing (""Head of Europa"", which would turn out to be Dalí's final drawing) after the king visited him on his deathbed.Gala died on June 10, 1982, at the age of 87.<br/>7. After Gala's death, Dalí lost much of his will to live.<br/>8. He deliberately dehydrated himself, possibly as a suicide attempt, with claims stating he had tried to put himself into a state of suspended animation as he had read that some microorganisms could do.<br/>9. He moved from Figueres to the castle in Púbol, which he had bought for Gala and had been the site of her death.<br/>10. In 1984, a fire broke out in his bedroom under unclear circumstances.<br/>11. It was possibly a suicide attempt by Dalí, or possibly simple negligence by his staff.<br/>12. Dalí was rescued by friend and collaborator Robert Descharnes and returned to Figueres, where a group of his friends, patrons, and fellow artists saw to it that he was comfortable living in his Theater-Museum in his final years.There have been allegations that Dalí was forced by his guardians to sign blank canvases that would later, even after his death, be used in forgeries and sold as originals.<br/>13. As a result, art dealers tend to be wary of late works attributed to Dalí.In November 1988, Dalí entered the hospital with heart failure; a pacemaker had already been implanted previously.<br/>14. On December 5, 1988, he was visited by King Juan Carlos, who confessed that he had always been a serious devotee of Dalí.On January 23, 1989, while his favorite record of ""Tristan and Isolde"" played, he died of heart failure at Figueres at the age of 84.<br/>15. He is buried in the crypt of his Teatro Museo in Figueres.<br/>16. The location is across the street from the church of ""Sant Pere"", where he had his baptism, first communion, and funeral, and is only three blocks from the house where he was born.The Gala-Salvador Dalí Foundation currently serves as his official estate.<br/>17. The US copyright representative for the Gala-Salvador Dalí Foundation is the Artists Rights Society.<br/>18. In 2002, the Society made the news when they asked Google to remove a customized version of its logo put up to commemorate Dalí, alleging that portions of specific artworks under their protection had been used without permission.<br/>19. Google complied with the request, but denied that there was any copyright violation.<br/>"
Treaty_of_Versailles-United_States,"Category: Historical Events<br/>Title: Treaty of Versailles<br/>Section: United States<br/><br/>1. After the Versailles conference Wilson claimed that ""at last the world knows America as the savior of the world!<br/>2. ""The Republican Party—led by Henry Cabot Lodge—controlled the U.S. Senate after the election of 1918, but the Senators were divided into multiple positions on the Versailles question.<br/>3. It proved possible to build a majority coalition, but impossible to build a two-thirds coalition that was needed to pass a treaty.An angry bloc of 12–18 ""Irreconcilables"", mostly Republicans but also representatives of the Irish and German Democrats, fiercely opposed the Treaty.<br/>4. One block of Democrats strongly supported the Versailles Treaty, even with reservations added by Lodge.<br/>5. A second group of Democrats supported the Treaty but followed Wilson in opposing any amendments or reservations.<br/>6. The largest bloc—led by Senator Lodge— comprised a majority of the Republicans.<br/>7. They wanted a treaty with reservations, especially on Article X, which involved the power of the League of Nations to make war without a vote by the U.S. Congress.<br/>8. All of the Irreconcilables were bitter enemies of President Wilson, and he launched a nationwide speaking tour in the summer of 1919 to refute them.<br/>9. However, Wilson collapsed midway with a serious stroke that effectively ruined his leadership skills.The closest the Treaty came to passage was on November 19, 1919, as Lodge and his Republicans formed a coalition with the pro-Treaty Democrats, and were close to a two-thirds majority for a Treaty with reservations, but Wilson rejected this compromise and enough Democrats followed his lead to permanently end the chances for ratification.Among the American public as a whole, the Irish Catholics and the German Americans were intensely opposed to the Treaty, saying it favored the British.After Wilson's successor Warren G. Harding continued American opposition to the League of Nations, Congress passed the Knox–Porter Resolution bringing a formal end to hostilities between the U.S. and the Central Powers.<br/>10. It was signed into law by Harding on July 21, 1921.The U.S.–German Peace Treaty of 1921 was signed in Berlin on , the US–Austrian Peace Treaty of 1921 was signed in Vienna on , and the US–Hungarian Peace Treaty of 1921 was signed in Budapest on .<br/>"
Toy_Story-Editing_and_pre-release,"Category: Movies<br/>Title: Toy Story<br/>Section: Editing and pre-release<br/><br/>1. It was difficult for crew members to perceive the film's quality during much of the production process, when the finished footage was in scattered pieces and lacked elements like music and sound design.<br/>2. Some animators felt the film would be a significant disappointment commercially, but felt animators and animation fans would find it interesting.<br/>3. According to Lee Unkrich, one of the original editors of ""Toy Story"", a scene was cut out of the original final edit.<br/>4. The scene features Sid, after Pizza Planet, torturing Buzz and Woody violently.<br/>5. Unkrich decided to cut right into the scene where Sid is interrogating the toys because the creators of the movie thought the audience would be loving Buzz and Woody at that point.<br/>6. Another scene, where Woody was trying to get Buzz's attention when he was stuck in the box crate, was shortened because the creators felt it would lose the energy of the movie.<br/>7. Peter Schneider had grown buoyant about the film as it neared completion, and announced a United States release date of November, coinciding with Thanksgiving weekend and the start of the winter holiday season.Sources indicate that executive producer Steve Jobs lacked confidence in the film during its production, and he had been talking to various companies, ranging from Hallmark to Microsoft, about selling Pixar.<br/>8. However, as the film progressed, Jobs became ever more excited about it, feeling that he might be on the verge of transforming the movie industry.<br/>9. As scenes from the movie were finished, he watched them repeatedly and had friends come by his home to share his new passion.<br/>10. Jobs decided that the release of ""Toy Story"" that November would be the occasion to take Pixar public.<br/>11. A test audience near Anaheim in late July 1995 indicated the need for last-minute tweaks, which added further pressure to the already frenetic final weeks.<br/>12. Response cards from the audience were encouraging, but were not top of the scale, adding further question as to how audiences would respond.<br/>13. The film ended with a shot of Andy's house and the sound of a new puppy.<br/>14. Michael Eisner, who attended the screening, told Lasseter afterward that the film needed to end with a shot of Woody and Buzz together, reacting to the news of the puppy.<br/>"
Doctor_Who-Episodes,"Category: Tv<br/>Title: Doctor Who<br/>Section: Episodes<br/><br/>1. <br/>2. ""Doctor Who"" originally ran for 26 seasons on BBC One, from 23 November 1963 until 6 December 1989.<br/>3. During the original run, each weekly episode formed part of a story (or ""serial"") — usually of four to six parts in earlier years and three to four in later years.<br/>4. Notable exceptions were: ""The Daleks' Master Plan"", which aired in 12 episodes (plus an earlier one-episode teaser, ""Mission to the Unknown"", featuring none of the regular cast); almost an entire season of seven-episode serials (season 7); the 10-episode serial ""The War Games""; and ""The Trial of a Time Lord"", which ran for 14 episodes (albeit divided into three production codes and four narrative segments) during season 23.<br/>5. Occasionally serials were loosely connected by a storyline, such as season 8 being devoted to the Doctor battling a rogue Time Lord called The Master, season 16's quest for The Key to Time, season 18's journey through E-Space and the theme of entropy, and season 20's Black Guardian Trilogy.The programme was intended to be educational and for family viewing on the early Saturday evening schedule.<br/>6. Initially, it alternated stories set in the past, which were intended to teach younger audience members about history, with stories set either in the future or in outer space to teach them about science.<br/>7. This was also reflected in the Doctor's original companions, one of whom was a science teacher and another a history teacher.However, science fiction stories came to dominate the programme and the ""historicals"", which were not popular with the production team, were dropped after ""The Highlanders"" (1967).<br/>8. While the show continued to use historical settings, they were generally used as a backdrop for science fiction tales, with one exception: ""Black Orchid"" set in 1920s England.The early stories were serial-like in nature, with the narrative of one story flowing into the next, and each episode having its own title, although produced as distinct stories with their own production codes.<br/>9. Following ""The Gunfighters"" (1966), however, each serial was given its own title, with the individual parts simply being assigned episode numbers.Of the programme's many writers, Robert Holmes was the most prolific, while Douglas Adams became the most well-known outside ""Doctor Who"" itself, due to the popularity of his ""Hitchhiker's Guide to the Galaxy"".The serial format changed for the 2005 revival, with each series usually consisting of 13 45-minute, self-contained episodes (60 minutes with adverts, on overseas commercial channels), and an extended episode broadcast on Christmas Day.<br/>10. Each series includes several standalone and multi-part stories, linked with a loose story arc that resolves in the series finale.<br/>11. As in the early ""classic"" era, each episode, whether standalone or part of a larger story, has its own title.<br/>12. Occasionally, regular-series episodes will exceed the 45-minute run time; notably, the episodes ""Journey's End"" from 2008 and ""The Eleventh Hour"" from 2010 exceeded an hour in length.800 ""Doctor Who"" instalments have been televised since 1963, ranging between 25-minute episodes (the most common format), 45-minute episodes (for ""Resurrection of the Daleks"" in the 1984 series, a single season in 1985, and the revival), two feature-length productions (1983's ""The Five Doctors"" and the 1996 television film), eight Christmas specials (most of 60 minutes' duration, one of 72 minutes), and four additional specials ranging from 60 to 75 minutes in 2009, 2010 and 2013.<br/>13. Four mini-episodes, running about eight minutes each, were also produced for the 1993, 2005 and 2007 Children in Need charity appeals, while another mini-episode was produced in 2008 for a ""Doctor Who""-themed edition of The Proms.<br/>14. The 1993 2-part story, entitled ""Dimensions in Time"", was made in collaboration with the cast of the BBC soap-opera ""EastEnders"" and was filmed partly on the ""EastEnders"" set.<br/>15. A two-part mini-episode was also produced for the 2011 edition of Comic Relief.<br/>16. Starting with the 2009 special ""Planet of the Dead"", the series was filmed in 1080i for HDTV, and broadcast simultaneously on BBC One and BBC HD.To celebrate the 50th anniversary of the show, a special 3D episode, ""The Day of the Doctor"", was broadcast in 2013.<br/>17. In March 2013, it was announced that Tennant and Piper would be returning, and that the episode would have a limited cinematic release worldwide.<br/>"
