paragraph_id,candidates,content
Somebody_That_I_Used_to_Know-Accolades,"1, 6","Category: Music<br/>Title: Somebody That I Used to Know<br/>Section: Accolades<br/><br/>1. <strike>On 15 July 2011, the song finished third in the 2011 Vanda & Young Songwriting Competition, with the winning song, ""Cameo Lover"", by Kimbra.</strike><br/>2. Earlier that year, Gotye had first noticed Kimbra when both were short-listed as finalists for the competition.<br/>3. At the ARIA Music Awards of 2011, ""Somebody That I Used To Know"" won Single of the Year, Best Pop Release, Best Video (for Natasha Pincus), Engineer of the Year (for François Tétaz) and Producer of the Year (for Gotye).<br/>4. Gotye also won Best Male Artist for the song while Kimbra won Best Female Artist for her previous single, ""Cameo Lover"".<br/>5. At the APRA Music Awards of 2012, ""Somebody That I Used To Know"" won Most Played Australian Work and Song of the Year and Gotye won Songwriter of the Year.<br/>6. <strike>It is also nominated at the 2012 Teen Choice Awards for ""Choice Rock Song"" and ""Choice Break-Up Song"".</strike><br/>7. The song was nominated at the 55th Grammy Awards for Record of the Year and Best Pop Duo/Group Performance, winning both awards.<br/>"
Somebody_That_I_Used_to_Know-Track_listing,8,"Category: Music<br/>Title: Somebody That I Used to Know<br/>Section: Track listing<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;Digital download<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp; ""Somebody That I Used to Know"" – 4:04<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp; ""Somebody That I Used to Know"" (Radio Mix) – 3:33<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;Digital download – Remix<br/>5. •&nbsp;&nbsp;&nbsp;&nbsp; ""Somebody That I Used to Know"" – 4:33<br/>6. •&nbsp;&nbsp;&nbsp;&nbsp;7"" Vinyl single<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp; ""Somebody That I Used to Know"" – 4:04<br/>8. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""Bronte"" – 3:13</strike><br/>9. •&nbsp;&nbsp;&nbsp;&nbsp;CD single<br/>10. •&nbsp;&nbsp;&nbsp;&nbsp; ""Somebody That I Used to Know"" – 4:04<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp; ""Easy Way Out"" – 1:57<br/>"
Call_Me_Maybe-Music_video,11,"Category: Music<br/>Title: Call Me Maybe<br/>Section: Music video<br/><br/>1. A music video for ""Call Me Maybe"" was written and directed by Ben Knechtel.<br/>2. According to Knechtel, the main idea behind the concept was to have a ""twist at the end"", trying to get away from the idea of the classic ""boy meets a girl"" story.<br/>3. The music video has over 450 million views on Vevo and YouTube as of April 27, 2013.The video begins with Jepsen spying on her attractive tattooed neighbor, portrayed by Holden Nowell, as he is working on his lawn.<br/>4. As he takes his shirt off and notices she is staring at him, Jepsen slips on her high heels and falls below her window.<br/>5. She is reading the books ""Love at First Sight (Men In Uniform)"" by B.J.<br/>6. Daniels and ""Skylar's Outlaw"" by Linda Warren.<br/>7. The scene then cuts to her garage, where she is rehearsing the track with her band.<br/>8. Following the rehearsals, her bandmates push her to go and wash her car, where she tries to gain her neighbor's attention with various provocative poses only to fall from the hood of the car.<br/>9. She is briefly knocked out from the fall, during which she dreams of a romance novel-type encounter with her crush.<br/>10. As she comes to, the neighbor then helps Jepsen to get up, and watches the band rehearse the track again.<br/>11. <strike>After turning and writing down her telephone number, Jepsen sees her neighbor pass one of her male bandmates (Tavish Crowe) his own number, indicating he is attracted to the man instead.</strike><br/>12. The video received three nominations on the 2012 MuchMusic Video Awards in the categories of UR Fave Video, Pop Video of the Year, and Video of the Year.<br/>"
Call_Me_Maybe-Track_listings,"4, 5","Category: Music<br/>Title: Call Me Maybe<br/>Section: Track listings<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;Digital download<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""Call Me Maybe""  – 3:13</strike><br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;Digital EP<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""Call Me Maybe""  – 3:13</strike><br/>5. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""Both Sides Now""  – 3:53</strike><br/>6. •&nbsp;&nbsp;&nbsp;&nbsp; ""Talk to Me""  – 2:50<br/>7. •&nbsp;&nbsp;&nbsp;&nbsp; ""Call Me Maybe"" (Instrumental)  – 3:13<br/>8. •&nbsp;&nbsp;&nbsp;&nbsp;CD single<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""Call Me Maybe""  – 3:13</strike><br/>10. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> ""Both Sides Now""  – 3:53</strike><br/>11. •&nbsp;&nbsp;&nbsp;&nbsp;Remix EP<br/>12. •&nbsp;&nbsp;&nbsp;&nbsp; ""Call Me Maybe"" (Manhattan Clique Remix)  – 5:56<br/>13. •&nbsp;&nbsp;&nbsp;&nbsp; ""Call Me Maybe"" (Almighty Club Mix)  – 6:58<br/>14. •&nbsp;&nbsp;&nbsp;&nbsp; ""Call Me Maybe"" (10 Kings.VS.<br/>15. Ollie Green Remix)  – 3:08<br/>16. •&nbsp;&nbsp;&nbsp;&nbsp; ""Call Me Maybe"" (Coyote Kisses Remix)  – 4:46<br/>"
We_Are_Young-Abstract,2,"Category: Music<br/>Title: We Are Young<br/>Section: Abstract<br/><br/>1. ""We Are Young"" is a song recorded by American band Fun featuring Janelle Monáe, for their second studio album ""Some Nights"" (2012).<br/>2. <strike>It was released on September 20, 2011 as the lead single from ""Some Nights"".</strike><br/>3. Musically, ""We Are Young"" is an anthem that incorporates the genres of indie pop, alternative rock, and power pop.<br/>4. The song received generally positive reviews from music critics, with many noting the song as a breakthrough for the indie genre and praising the song's catchiness.<br/>5. ""We Are Young"" has attained commercial success worldwide, reaching number one in several countries.The track initially only gained attention from online media, although it did receive its first commercial radio airplay on Tampa Bay alternative radio station, 97X, debuting on September 19, 2011.<br/>6. However, it was soon covered by the television show ""Glee"".<br/>7. With the ""Glee"" version having success on the charts, the song was licensed for use in a Chevrolet Sonic commercial that aired during Super Bowl XLVI.<br/>8. The single song propelled the band into mainstream success, topping the digital charts in February 2012 and becoming a crossover hit, peaking at number one on the ""Billboard"" Hot 100 through airplay on contemporary hit radio stations, topping the chart for six weeks straight.<br/>9. It is also the first song to log seven weeks of 300,000 or more in digital sales, a record that was previously held by Eminem's ""Love the Way You Lie"" (2010).<br/>10. ""We Are Young"" has been certified five-times platinum by the Recording Industry Association of America, and is both Fun and Monáe's first charting single on the Hot 100, as well as their first number-one single.<br/>11. The song also topped the Hot 100 Airplay chart with 120 million impressions in seven weeks, becoming the first group since Destiny's Child's ""Survivor"" (2001) to do so.<br/>12. The song was named 99th on the ""Billboard"" Hot 100 Songs of All-time.An accompanying music video was directed by Marc Klasfeld at David Sukonick Concert Hall in Los Angeles.<br/>13. It features the group performing on a stage at a bar where a riot breaks out.<br/>14. As part of promotion for the song, it was performed at the 2011 Coachella Valley Music and Arts Festival, the American late night television show ""Conan"", and was used as the opening song at the 2012 MTV Movie Awards.<br/>15. The song is featured in the music video game, ""Rock Band Blitz"".<br/>16. The song won the Grammy Award for Song of the Year at the 55th Grammy Awards, where it was also a nominee for Record of the Year and Best Pop Duo/Group Performance.<br/>"
We_Are_Young-Composition_and_lyrical_interpretation,8,"Category: Music<br/>Title: We Are Young<br/>Section: Composition and lyrical interpretation<br/><br/>1. <br/>2. ""We Are Young"" is a power ballad that combines the genres of indie pop, alternative rock, and power pop.<br/>3. The song is written in the key of F major, based almost entirely on the 50s progression (I vi IV V) with the exception of its bridge, and follows a tempo of 116 beats per minute, changing to 92 bpm from the pre chorus to the end.<br/>4. The song has a slow hip hop groove from the first chorus onward, and the song in its entirety is in common time.<br/>5. The instrumentation of the original mix session consists of drums, bass guitar, synth bass, electric guitars, synths, piano, horns and other brass, and a hugh amount of vocal tracks, as well as the rough mix and two reference tracks, by Queen and Kanye West, that are both muted in the final master.In the song, ""careful arrangements layer sharp, bright piano melodies with big, booming drums and multiple vocal harmonies.""<br/>6. Ruess shifts from ""vulnerable verbal tumbling in the song's sonically sparse intro to the grandiose declaration, 'Tonight, we are young / So let's set the world on fire / We can burn brighter than the sun' in the massive chorus.""<br/>7. According to ""Spin"", the song incorporates a ""marrying fist-pump stadium rock to the prim indie-pop of Grizzly Bear's ""Two Weeks,"" keeping the deliberate beats and soaring melodies but replacing choirboy primness with a percussive whomp.""<br/>8. <strike>Andrew Unterberger of ""Popdust"" compared the song's chorus to that of Pat Benatar's ""Love Is a Battlefield"" and Supergrass' ""Alright,"" and noted that nearly every word in the chorus is imbued with maximum passion and importance.</strike><br/>9. Tim Jonze Guardian.co.uk described the chorus as anthemic and compared it to work done by Arcade Fire and stated that the lyrics were ""life-affirming and fit for a teen movie soundtrack.<br/>10. ""Lead singer Nate Ruess says the lyrics were inspired by one specific night, after ""my worst drinking night of all time.""<br/>11. Ruess told ""Rolling Stone"" that he was kicked out of a taxi cab for puking all over it.<br/>12. ""The cabbie was demanding all this money, and all I could do was stand on the corner with my head against the wall.<br/>13. It took me another day before I was a functioning adult and could actually write down the verses,"" he said.<br/>"
Payphone_(song)-Synopsis,4,"Category: Music<br/>Title: Payphone (song)<br/>Section: Synopsis<br/><br/>1. The video begins with a flashforward that starts with a beleaguered Levine torching his ride and dialing (possibly) his lost love's telephone number at a payphone.<br/>2. Another typical day at a Las Vegas (seen from the decals on the police cars) bank for Levine is shown next, which turns into chaos when some bandits enter and take charge (one of them is played by the band's lead guitarist – James Valentine – and some of the other bank robbers are probably played by drummer Matt Flynn, bassist Mickey Madden and current keyboardist, originally a touring-only band member, PJ Morton) – all of this happens while the song plays in the background.<br/>3. Levine grabs a gun from one of the robbers and threatens to get rid of them.<br/>4. <strike>He and his female co-worker (played by Dutch model Bregje Heinen) escape though Levine is shot in the arm, but when some cops mistake him for one of the robbers, Levine tells the female co-worker to hide in a car and steals an AC Cobra 427 that belongs to Wiz Khalifa to get away from them.</strike><br/>5. A car chase follows and when Levine is almost caught by the police, he steers the stolen convertible onto the wrong side of the road and causes a huge explosion, which destroys one of the police cars.<br/>6. When he finally reaches his destination in Los Angeles, he passes by a place where Wiz, the owner of the car, performed his rap earlier.<br/>7. After Levine gets out of the convertible, it also explodes and he enters a booth, injured, with the titular payphone, probably to call for help (It is also likely that he is calling Heinen) – this connects to the beginning of the video.<br/>"
Payphone_(song)-Covers,1,"Category: Music<br/>Title: Payphone (song)<br/>Section: Covers<br/><br/>1. <strike>On 7 May 2012, singing sisters Cimorelli posted a cover on YouTube, which has been watched over 15 million times but Dani and Lauren changed up the rap.</strike><br/>2. Tanner Patrick, Dave Days, Megan Nicole, Tiffany Alvord and Avery also posted cover versions of ""Payphone"".<br/>3. In July 2012, Canadian indie group Walk off the Earth released a cover on YouTube where many of the instruments being played are looped live, allowing one member to effectively play six instruments over the course of the song, with the recorded loops all playing at once.<br/>4. The same month, the band Boyce Avenue also released a cover of the song.<br/>5. American post-hardcore group Crown The Empire has done a heavy cover of the song as well for Fearless Records' compilation album ""Punk Goes Pop 5"".<br/>6. Comedy rapper Rucka Rucka Ali recorded a parody, ""Dago"", on his 2012 album ""Rucka's World"".In October 2012, Daniel Evans, a finalist on season 5 of The X Factor (UK) published and subsequently released an acoustic piano ballad version on his YouTube channel.<br/>"
"Lights_(musician)-2008–09:_""Lights""_and_""The_Listening""",2,"Category: Music<br/>Title: Lights (musician)<br/>Section: 2008–09: ""Lights"" and ""The Listening""<br/><br/>1. Starting in early 2008, Lights toured cities in the Great Lakes region, in both Canada and the United States.<br/>2. <strike>In late 2008, she toured the United States.In August 2008, Lights signed a record deal with Toronto based label Underground Operations.</strike><br/>3. She also signed an American partnership deal with Warner Bros. along with Doghouse Records.<br/>4. Around the same time, her song ""Drive My Soul"" got to No.18 in the Canadian Hot 100.<br/>5. After signing with them, her EP was released in stores on September 16.<br/>6. Her second single, ""February Air,"" sold 12,000 copies.<br/>7. In early 2008, ""February Air"" was in a commercial for Old Navy.<br/>8. It was later released in December 2008.In Ten Second Epic's song ""Every Day"" from their album Hometown, Lights contributed vocals and appeared in their music video.<br/>9. The song appeared on the ""Big Shiny Tunes 14"" compilation album and the music video was nominated for Best Independent Music Video at the 2010 MuchMusic Video Awards.<br/>10. She is also featured on the soundtrack (songs ""Ben"" and ""Climbing"") for the 2008 Canadian film ""One Week"", starring Joshua Jackson.<br/>11. She was a guest vocalist on the album ""A Shipwreck in the Sand"", released in 2009 by post-hardcore band Silverstein from Burlington, Ontario.In 2009, Lights released her third single to Canadian radio stations called ""Ice"" with a homemade video released on her MySpace.<br/>12. She also released a second video for ""Ice"" in Canada on November 10, 2009.<br/>13. It was released in the United States on November 11, 2009.<br/>14. On August 10, 2009, her music video for ""Saviour"" was released.<br/>15. In an interview for the musical website Hall-Musique, Lights announced she was hoping to release her debut album in Europe by early 2010.In March, Lights was named on the American music website Shred News's 10 ""Artists to Watch in 2010.<br/>16. ""While touring in the summer of 2009 on the 2009 Vans Warped Tour, Lights's single ""Saviour"" premiered on Canadian radio stations on July 6, 2009.<br/>17. The song is from her first full-length album, ""The Listening"", which was released on September 22 in Canada.<br/>18. It was released on October 6 in the United States after she left Underground Operations, for her own record label, Lights Music Inc.<br/>19. The cover for the album was also released.<br/>20. According to Lights, the entire artwork was inspired by ""Watchmen"", ""28 Days Later"", and ""Sailor Moon"".In September 2009, Lights toured with the British band Keane on their Canadian/Pacific Northwest tour.<br/>21. In late 2009, Lights toured all around the United States and Canada with Stars of Track and Field.<br/>"
"Lights_(musician)-2010–present:_""Acoustic""_EP,_""Siberia"",_""Siberia_Acoustic"",_and_""Tour""",23,"Category: Music<br/>Title: Lights (musician)<br/>Section: 2010–present: ""Acoustic"" EP, ""Siberia"", ""Siberia Acoustic"", and ""Tour""<br/><br/>1. She toured from January–May 2010 with contemporary synthpop artist Owl City in Canada, USA, and Europe.<br/>2. Lights is featured on Owl City's song ""The Yacht Club"" on his album ""All Things Bright and Beautiful"" which was released on June 14, 2011, as well as appearing in the music video for another one of Owl City's songs ""Deer in the Headlights.""<br/>3. Plans for future duets are in the works.<br/>4. She was also in the summer 2010 Lilith Fair official lineup.<br/>5. She went on a two week solo UK tour in May 2010 being supported by fellow Canadian artist Rich Aucoin for most of her shows.<br/>6. Additionally, Lights was a special guest for pop-rock band Hedley's The Show Must Go... On The Road Tour, as well as These Kids Wear Crowns.Lights released an acoustic EP titled ""Acoustic"" in July 2010.<br/>7. Her debut for the album was at the University of Waterloo, where she had received most of her inspiration for the album.<br/>8. That same month, she began her six-date tour around the US, performing her songs acoustically.<br/>9. In September, she toured with Hedley for eight dates on the Ontario leg of their Canadian tour.<br/>10. In October 2010, Bring Me The Horizon's album ""There Is a Hell, Believe Me I've Seen It.<br/>11. There Is a Heaven, Let's Keep It a Secret"" featured Lights as a guest vocalist on the songs ""Crucify Me"" and ""Don't Go.""<br/>12. She is also featured on The Secret Handshake's song ""Used to be Sweet"" from their album ""Night and Day"".In October 2010, Lights released ""My Boots.""<br/>13. She also left on her headlining tour with Jeremy Fisher.On June 18, 2011 at the Utopia Music Festival, Lights performed three new songs called ""Toes,"" ""Where the Fence is Low,"" and ""Everybody Breaks a Glass.<br/>14. ""The single ""Toes"" was released on August 16, 2011 as the first single to Lights' second studio album, ""Siberia"".<br/>15. After signing with Last Gang Records her album was delayed due to criticism from the label executives.<br/>16. Though reluctant to tell full details of delays, the shift in style to a more gritty sound was a risk worried about by Last Gang Records.<br/>17. The full-length album was released online in the US and Canada on October 4, 2011 and went on iTunes stores in Australia on October 28.<br/>18. Siberia received positive reviews from many critics and was nominated for a Juno Award for Best Pop Album of the Year.<br/>19. Lights says her favorite song on ""Siberia"" is ""Flux and Flow.<br/>20. ""In July 2012, Lights's husband revealed that she was working on an acoustic version of ""Siberia"".<br/>21. She seconded this by posting a photo on Twitter shortly after with a piano and acoustic guitars with the caption, ""My station today.<br/>22. Kind of intimidating...""On March 15, 2013, Lights released an acoustic version of ""Cactus in the Valley"" featuring Owl City as a single in the UK.<br/>23. <strike>The album, ""Siberia Acoustic"", was released on April 30, 2013, and reached Number 7 in Canada.</strike><br/>24. She toured select dates around North America in support of the album, with Dear Rouge opening select dates and Lianne La Havas opening other select dates.<br/>"
