HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.content,Answer.ParaphraseQuestionBox,Approve,Reject
32CAVSKPCEPRPZ6XBTUYR28X7PO1U0,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:12 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:12 PDT 2016,,,3XM0HYN6NKZG4FQ7WYVKC00AYIEPE7,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:07:33 PST 2016,Tue Mar 08 08:08:14 PST 2016,Wed Mar 09 08:08:14 PST 2016,,,,41,0% (0/0),0% (0/0),0% (0/0),Somebody_That_I_Used_to_Know-Accolades,"<font color=""blue"">Question</font>: Who won the Single of the Year at the ARIA Music Awards of 2011?<br/><font color=""blue"">Sentence(s)</font>: At the ARIA Music Awards of 2011, ""Somebody That I Used To Know"" won Single of the Year, Best Pop Release, Best Video (for Natasha Pincus), Engineer of the Year (for François Tétaz) and Producer of the Year (for Gotye).",What artist received the 2011 ARIA Music Awards Single of the Year?,,
3RQVKZ7ZRKJWG9CXHP11MT4IRK472K,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:12 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:12 PDT 2016,,,3LS2AMNW5FQNGI4BQPD5HHKY7G5QO2,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:08:15 PST 2016,Tue Mar 08 08:08:33 PST 2016,Wed Mar 09 08:08:33 PST 2016,,,,18,0% (0/0),0% (0/0),0% (0/0),Call_Me_Maybe-Track_listings,"<font color=""blue"">Question</font>: How long is ""Talk to Me""?<br/><font color=""blue"">Sentence(s)</font>:  ""Talk to Me""  – 2:50","What is the length of ""Talk to Me""?",,
389A2A304OIVWG4FTJ5YJR3HVXBC0Y,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:13 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:13 PDT 2016,,,3MRNMEIQW56LLOX98BRTP195TWDDL5,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:23:55 PST 2016,Tue Mar 08 08:24:33 PST 2016,Wed Mar 09 08:24:33 PST 2016,,,,38,0% (0/0),0% (0/0),0% (0/0),Glad_You_Came-In_popular_culture_/_Cover_versions,"<font color=""blue"">Question</font>: On March 8th, 2012, which YouTube artist covered the track ""Glad you came""?<br/><font color=""blue"">Sentence(s)</font>:  ""Glad You Came"" was covered by Masha, on her YouTube channel on March 8, 2012.","What YouTube artist performed a cover of ""Glad you came"" on March 8th, 2012?",,
34F34TZU7WZP04DZIYQYPJ9RIF3J22,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:06 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:06 PDT 2016,,,3IO1LGZLK9XRL8YB4ZABEQD7SAR68K,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:15:07 PST 2016,Tue Mar 08 08:15:45 PST 2016,Wed Mar 09 08:15:45 PST 2016,,,,38,0% (0/0),0% (0/0),0% (0/0),Cycling-Bicycle_Touring,"<font color=""blue"">Question</font>: What began in 1891?<br/><font color=""blue"">Sentence(s)</font>: Paris–Brest–Paris (PBP), which began in 1891, is the oldest bicycling event still run on a regular basis on the open road, covers over and imposes a 90-hour time limit.",What event originated in the year 1891?,,
3QE4DGPGBRBPCG2LE6OJLLE9A1J4GG,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:13 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:13 PDT 2016,,,31LVTDXBL7AFMYGEQCMDUQQ98X3RLO,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:05:55 PST 2016,Tue Mar 08 08:06:09 PST 2016,Wed Mar 09 08:06:09 PST 2016,,,,14,0% (0/0),0% (0/0),0% (0/0),What_Makes_You_Beautiful-Background_and_release,"<font color=""blue"">Question</font>: Who handled the audio mixing?<br/><font color=""blue"">Sentence(s)</font>: Serban Ghenea handled the audio mixing, Tom Coyne the audio mastering, and John Hanes the mix engineering, for which Phil Seaford served as the assistant.",Who is responsible for mixing the audio?,,
3LXX8KJXPW9E1ZPVJKXI72YRNFNO9I,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:03 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:03 PDT 2016,,,33NF62TLXJ2N44FJX713DZR39G3JKK,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 07:58:29 PST 2016,Tue Mar 08 07:59:29 PST 2016,Wed Mar 09 07:59:29 PST 2016,,,,60,0% (0/0),0% (0/0),0% (0/0),Watergate_scandal-Resignation,"<font color=""blue"">Question</font>: Who destroyed the ""smoking gun"" tape?<br/><font color=""blue"">Sentence(s)</font>: The release of the ""smoking gun"" tape destroyed Nixon politically.","Who is responsible for getting rid of the ""smoking gun"" tape?",,
3I7KR83SNADVB84GLS5P0LHI3AEK9V,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:15 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:15 PDT 2016,,,3ZPBJO59KP1JZSEJHQCVX9GYCF5HD3,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:26:45 PST 2016,Tue Mar 08 08:27:07 PST 2016,Wed Mar 09 08:27:07 PST 2016,,,,22,0% (0/0),0% (0/0),0% (0/0),Party_Rock_Anthem-Background,"<font color=""blue"">Question</font>: Choreography was handled by members of which group?<br/><font color=""blue"">Sentence(s)</font>: It was choreographed by, and featured, Quest Crew members Hokuto Konishi, Victor Kim, Ryan Conferido, Steve Terada, Aris Paracuelles, Brian Hirano and Ryan Feng.",What group was responsible for handling choreography?,,
35F6NGNVM8JQ086A04LXNGD8RXGT7X,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:04 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:04 PDT 2016,,,3JMSRU9HQIUT9ZN3IA4JISPSK6GVEZ,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:18:46 PST 2016,Tue Mar 08 08:19:00 PST 2016,Wed Mar 09 08:19:00 PST 2016,,,,14,0% (0/0),0% (0/0),0% (0/0),Thermodynamics-States_and_processes,"<font color=""blue"">Question</font>: What is the working body referred to?<br/><font color=""blue"">Sentence(s)</font>: In this kind of account, the working body is often regarded as a ""black box"", and its own state is not specified.",What do people call the working body?,,
3R868ACW4SC5FDQAZZE9FHRIBWMGZ4,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:04 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:04 PDT 2016,,,3B3WTRP3DB23HCYKMP4MO9R6WB529M,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 07:59:30 PST 2016,Tue Mar 08 08:00:28 PST 2016,Wed Mar 09 08:00:28 PST 2016,,,,58,0% (0/0),0% (0/0),0% (0/0),Quantum_mechanics-Quantum_mechanics_and_classical_physics,"<font color=""blue"">Question</font>: When is quantum coherence evident at macroscopic scales?<br/><font color=""blue"">Sentence(s)</font>: However, chaotic systems do not have good quantum numbers, and quantum chaos studies the relationship between classical and quantum descriptions in these systems.Quantum coherence is an essential difference between classical and quantum theories as illustrated by the Einstein–Podolsky–Rosen (EPR) paradox — an attempt to disprove quantum mechanics by an appeal to local realism.",When can you detect quantum coherence at macroscopic scales?,,
3W5PY7V3UP7F1P66BJXTYNAWXUZJYK,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Tue Mar 08 07:55:09 PST 2016,1,BatchId:2301115;,180,86400,Tue Mar 15 08:55:09 PDT 2016,,,3X0H8UUIT1O7Y7SQ9FTKTBCLS6QWSA,AYJGQBBK6KXZ7,Submitted,Tue Mar 08 08:16:58 PST 2016,Tue Mar 08 08:17:15 PST 2016,Wed Mar 09 08:17:15 PST 2016,,,,17,0% (0/0),0% (0/0),0% (0/0),Ski_jumping-Ski_flying,"<font color=""blue"">Question</font>: Who is the ""father"" of ski flying?<br/><font color=""blue"">Sentence(s)</font>: The ""father"" of ski flying is Janez Gorišek, an engineer, sportsman and enthusiastic sport-promoter who designed the Planica ski-jump.There are five ski flying hills in the world today: Vikersundbakken in Vikersund, Norway; Oberstdorf, Germany; Kulm Austria; Letalnica, Planica, Slovenia; and Harrachov, Czech Republic.",Who is considered the originator of ski flying?,,
