HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.content,Answer.ParaphraseQuestionBox,Approve,Reject
3YO4AH2FPDKZQHEYY16T3WSYZ2VQ0G,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:23 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:23 PDT 2016,,,3MX2NQ3YC9ULH5Z57OCY2JG0NJQ5X2,A362DCLFE4LWPM,Submitted,Mon Mar 07 09:57:55 PST 2016,Mon Mar 07 09:58:18 PST 2016,Tue Mar 08 09:58:18 PST 2016,,,,23,100% (8/8),100% (8/8),100% (8/8),Somebody_That_I_Used_to_Know-Abstract,"<font color=""blue"">Question</font>: Which song provided the inspiration to write ""Somebody That I Used To Know""?<br/><font color=""blue"">Sentence(s)</font>: It samples Luiz Bonfá's song ""Seville"" from his 1967 album ""Luiz Bonfa Plays Great Songs"".","Which song was the inspiration behind the writing of ""Somebody That I Used to Know""?",,
3TD33TP5DL28NOAR7L6WXD9CMO6ABF,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:23 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:23 PDT 2016,,,39LNWE0K4UW5CP0P93K57LL1YNFUI9,A36HM2UTA342IH,Submitted,Mon Mar 07 10:08:59 PST 2016,Mon Mar 07 10:10:02 PST 2016,Tue Mar 08 10:10:02 PST 2016,,,,63,0% (0/0),0% (0/0),0% (0/0),Somebody_That_I_Used_to_Know-Music_video,"<font color=""blue"">Question</font>: When did the video get nominated for Video of the Year?<br/><font color=""blue"">Sentence(s)</font>: The video was nominated for Video of the Year and Best Editing in a Video at the 2012 MTV Video Music Awards.",When was the video nominated for Video of the Year?,,
3XWUWJ18TLQ7YWXVDH4I24DUIC4UUR,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:23 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:23 PDT 2016,,,3AMYWKA6YBMU60LRBGZ7BC377AVO6V,A36HM2UTA342IH,Submitted,Mon Mar 07 10:04:42 PST 2016,Mon Mar 07 10:05:13 PST 2016,Tue Mar 08 10:05:13 PST 2016,,,,31,0% (0/0),0% (0/0),0% (0/0),Call_Me_Maybe-Abstract,"<font color=""blue"">Question</font>: Who wrote Call Me Maybe?<br/><font color=""blue"">Sentence(s)</font>: The song was written by Jepsen and Tavish Crowe as a folk song, but its genre was modified to pop following the production by Josh Ramsay.",Call Me Maybe was written by who?,,
338GLSUI43B20181TNEJ13U3NS5FSY,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:23 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:23 PDT 2016,,,3V5Q80FXIXRH2A945G3CXWOKWEY23Y,A3OIUL8DSG7XW4,Submitted,Mon Mar 07 10:10:08 PST 2016,Mon Mar 07 10:10:36 PST 2016,Tue Mar 08 10:10:36 PST 2016,,,,28,0% (0/0),0% (0/0),0% (0/0),Call_Me_Maybe-Composition,"<font color=""blue"">Question</font>: What is the song's vocal range?<br/><font color=""blue"">Sentence(s)</font>: Jepsen's vocals span from G3 to C5, and the song follows a key progression of Cmaj7–G/D–Cmaj7–G/D.",what is the artist's range?,,
3XAOZ9UYRZRZX6ZGUKATH1B84U1Q1J,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:23 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:23 PDT 2016,,,34BBWHLWHABI4TPU43Z6P96YJ3RIWX,A1PTH9KTRO06EG,Submitted,Mon Mar 07 10:17:00 PST 2016,Mon Mar 07 10:17:27 PST 2016,Tue Mar 08 10:17:27 PST 2016,,,,27,0% (0/0),0% (0/0),0% (0/0),We_Are_Young-Production,"<font color=""blue"">Question</font>: Who provided guest vocals on ""We Are Young"" because of his/her friendship with Bhasker?<br/><font color=""blue"">Sentence(s)</font>: The band invited Janelle Monáe to provide guest vocals on ""We Are Young"" through her friendship with Bhasker.","Who was the guest vocals on ""We are Young"" based on their relationship with Bhasker?",,
3L55D8AUFAXSTB001RG7BJX1709CYY,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:23 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:23 PDT 2016,,,3CN4LGXD5XOSLRLFYFFQG5HVPTOY4V,A1945USNZHTROX,Submitted,Mon Mar 07 10:00:50 PST 2016,Mon Mar 07 10:02:03 PST 2016,Tue Mar 08 10:02:03 PST 2016,,,,73,0% (0/0),0% (0/0),0% (0/0),We_Are_Young-Critical_reception,"<font color=""blue"">Question</font>: What rating did Luke Lewis of ""NME"" give the song ""We Are Young""?<br/><font color=""blue"">Sentence(s)</font>: However Luke Lewis of ""NME"" gave a highly negative review of the song, giving a 5 out of 10 stating: ""It's not clear what compelled Janelle Monáe to work with these New York-based Panic!","The song ""We Are Young"" was rated how by Luke Lewis of ""NME""?",,
302OLP89DZ7RXT2XLL2R8XFU496ACM,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:23 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:23 PDT 2016,,,3AUQQEL7U5TUI989A354X3NOQ06V03,AK0DGGS89D436,Submitted,Mon Mar 07 09:59:20 PST 2016,Mon Mar 07 10:00:21 PST 2016,Tue Mar 08 10:00:21 PST 2016,,,,61,0% (0/0),0% (0/0),0% (0/0),Payphone_(song)-Abstract,"<font color=""blue"">Question</font>: Who wrote the song Payphone?<br/><font color=""blue"">Sentence(s)</font>: The song was written by Adam Levine, Benny Blanco, Ammar Malik, Robopop, Shellback and Khalifa and produced by Blanco and Shellback.",Which author did write Payphone?,,
3GL25Y6843UG2SMH9KOJV1V4Z8IMXJ,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3PM8NZGV8YGAARI3RG010UBRJFCXQ6,A3K6BSW10S4YKJ,Submitted,Mon Mar 07 09:58:47 PST 2016,Mon Mar 07 10:00:02 PST 2016,Tue Mar 08 10:00:02 PST 2016,,,,75,100% (1/1),100% (1/1),100% (1/1),Payphone_(song)-Background,"<font color=""blue"">Question</font>: Who wrote the song?<br/><font color=""blue"">Sentence(s)</font>: The song was written by Maroon 5's lead singer Adam Levine, along with Ammar Malik, Robopop, Benny Blanco, Shellback, and Wiz Khalifa, while production was helmed by Blanco and Shellback.",Who are the lyricists of the song?,,
3GL25Y6843UG2SMH9KOJV1V4Z8IXMU,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3LEIZ60CDJZTNN1WBWD0BK1DHF7Z9K,A1PTH9KTRO06EG,Submitted,Mon Mar 07 10:15:14 PST 2016,Mon Mar 07 10:15:28 PST 2016,Tue Mar 08 10:15:28 PST 2016,,,,14,0% (0/0),0% (0/0),0% (0/0),Lights_(musician)-2006–07:_Musical_beginnings,"<font color=""blue"">Question</font>: What tv series did Lights compose for?<br/><font color=""blue"">Sentence(s)</font>: Lights was among the songwriters who composed music for the television series ""Instant Star"".",What series did Lights compose for?,,
3IH9TRB0FBZMG8BXHC5K8ZKMDKKI18,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Mon Mar 07 09:48:24 PST 2016,1,BatchId:2299422;,180,86400,Mon Mar 14 10:48:24 PDT 2016,,,3UOUJI6MTDE22KPK8PK6AV8GM0JUX9,A2TJL8RPX552CB,Submitted,Mon Mar 07 10:10:10 PST 2016,Mon Mar 07 10:10:59 PST 2016,Tue Mar 08 10:10:59 PST 2016,,,,49,100% (13/13),100% (13/13),100% (12/12),Sailing-Knots_and_line_handling,"<font color=""blue"">Question</font>: What is a clove hitch?<br/><font color=""blue"">Sentence(s)</font>: clove hitch — securing lines running along a series of posts",What does a clove hitch do and what is it?,,
