HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.content,Answer.ParaphraseQuestionBox,Approve,Reject
3JGHED38EDRMHU54AA8WVX5N5UYY7G,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:30 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:30 PST 2016,,,3JV9LGBJWTEW3TAXNT8TN3GW0RHGOD,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:31:34 PST 2016,Fri Feb 26 12:31:54 PST 2016,Sat Feb 27 12:31:54 PST 2016,Fri Feb 26 14:51:09 PST 2016,,,20,100% (85/85),100% (85/85),100% (85/85),Rolling_in_the_Deep-Media_usage,"<font color=""blue"">Question</font>: For which film was ""Rolling In the Deep"" used in the advertising trailer?<br/><font color=""blue"">Sentence(s)</font>: ""Rolling in the Deep"" first gained attention when it was used in a trailer for the film ""I Am Number Four"" and in the film itself.",What movie has the song Rolling In the Deep in the trailer?,,
39O6Z4JLX2XZSFGQNCPAIXEHP6BVXZ,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:30 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:30 PST 2016,,,3WETL7AQWT8917SRNZ5AV3RWFR653O,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:11:07 PST 2016,Fri Feb 26 12:11:30 PST 2016,Sat Feb 27 12:11:30 PST 2016,Fri Feb 26 14:51:04 PST 2016,,,23,100% (85/85),100% (85/85),100% (85/85),Gangnam_Style-Music_industry,"<font color=""blue"">Question</font>: How much did Psy earn from Gangnam Style?<br/><font color=""blue"">Sentence(s)</font>: Although Psy earned more than US$60,000 from music sales of ""Gangnam Style"" in South Korea alone, he and his music label YG Entertainment have raked in almost US$1 million from advertisements which appear on YouTube videos identified for using ""Gangnam Style"" in its content.",How much money did Psy make for the song Gangnam Style?,,
3WGCNLZJKF858XVBPY49H249KKSD1Q,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:30 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:30 PST 2016,,,3PS7W85Z8Z2X1BSX54OIPW0WVM3T9L,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:25:55 PST 2016,Fri Feb 26 12:26:18 PST 2016,Sat Feb 27 12:26:18 PST 2016,Fri Feb 26 14:51:54 PST 2016,,,23,100% (85/85),100% (85/85),100% (85/85),Let_It_Be-Personnel,"<font color=""blue"">Question</font>: Who has choral arrangements on ""Across the Universe"", ""I Me Mine"" and ""The Long and Winding Road""?<br/><font color=""blue"">Sentence(s)</font>: John Barham – choral arrangements on ""Across the Universe"", ""I Me Mine"" and ""The Long and Winding Road""","Who did the choral arrangements of Across the Universe, The Long and Winding Road, and I Me Mine?",,
322ZSN9Z5GKTHLORY6NQK4TYZQQT42,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:30 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:30 PST 2016,,,3K9FOBBF2HJU70OMX55WL6LZ6YXLN8,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:15:18 PST 2016,Fri Feb 26 12:16:11 PST 2016,Sat Feb 27 12:16:11 PST 2016,Fri Feb 26 14:50:59 PST 2016,,,53,100% (85/85),100% (85/85),100% (85/85),Hey_Jude-Critical_reception,"<font color=""blue"">Question</font>: In what categories was ""Hey Jude"" nominated for grammy in 1969?<br/><font color=""blue"">Sentence(s)</font>: """"Hey Jude"" was nominated for the Grammy Awards of 1969 in the Record of the Year, Song of the Year, and Best Pop Performance by a Duo or Group with Vocal categories but failed to win any of them.",Which Grammys was Hey Jude nominated for in 1969?,,
3AJA9FLWSCYD6N55OBK5X1OGDZJIFY,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:30 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:30 PST 2016,,,3FQ5JJ512LOJNU64C5TV668KHY6NKL,A3AJEKRS0U1GJL,Approved,Fri Feb 26 15:06:15 PST 2016,Fri Feb 26 15:08:07 PST 2016,Sat Feb 27 15:08:07 PST 2016,2016-02-27 23:13:11 UTC,,,112,100% (1/1),100% (1/1),100% (1/1),I_Want_to_Hold_Your_Hand-Background_and_composition,"<font color=""blue"">Question</font>: Who taught the oboe in the ""small, rather stuffy music room"" in the basement where Lennon and McCartney sat at the piano and composed 'I Want to Hold Your Hand'?<br/><font color=""blue"">Sentence(s)</font>: Margaret Asher taught the oboe in the ""small, rather stuffy music room"" in the basement where Lennon and McCartney sat at the piano and composed 'I Want to Hold Your Hand'.","What is the name of the woman that taught the oboe in the ""small, rather stuffy music room"" in the same basement that Lennon and McCartney used to compose 'I Want to Hold Your Hand'?",,
3L2OEKSTW9AQH8ANKF029X1IGE4Y83,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3KJYX6QCM9B1KF9VWBFAF82KOCRVJU,ALSMSDQNVZ6IZ,Approved,Fri Feb 26 11:41:35 PST 2016,Fri Feb 26 11:43:08 PST 2016,Sat Feb 27 11:43:08 PST 2016,Fri Feb 26 14:51:47 PST 2016,,,93,100% (20/20),100% (20/20),100% (20/20),Every_Breath_You_Take-Track_listing,"<font color=""blue"">Question</font>: How long is Every Breath You Take?<br/><font color=""blue"">Sentence(s)</font>:  ""Every Breath You Take"" – 4:13",How long is Every Breath You Take?,,
338GLSUI43B20181TNEJ13U3MXLFSN,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3S3AMIZX3U5SIK33VYYUMIJIYLHDC2,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:10:10 PST 2016,Fri Feb 26 12:10:30 PST 2016,Sat Feb 27 12:10:30 PST 2016,Fri Feb 26 14:51:00 PST 2016,,,20,100% (85/85),100% (85/85),100% (85/85),Free_Bird-Legacy,"<font color=""blue"">Question</font>: What was the origin of ""Free Bird""<br/><font color=""blue"">Sentence(s)</font>: The phenomenon began earlier in the 1970s with The Allman Brothers Band's epic ""Whipping Post"", but then took off to a much greater extent with ""Free Bird"", which was very popular by 1979.",Where did Free Bird come from?,,
39O0SQZVJN7DKTTIWFG2N1CQ27J7RN,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3X3OR7WPZZ094T1IR3GD39V4H3WL8I,ALSMSDQNVZ6IZ,Approved,Fri Feb 26 11:40:57 PST 2016,Fri Feb 26 11:41:13 PST 2016,Sat Feb 27 11:41:13 PST 2016,Fri Feb 26 14:51:04 PST 2016,,,16,100% (20/20),100% (20/20),100% (20/20),How_to_Save_a_Life-Singles,"<font color=""blue"">Question</font>: When did Over My Head become a top 40 hit?<br/><font color=""blue"">Sentence(s)</font>: ""Over My Head (Cable Car)"" was released as the first single from the album, and it became a top 40 hit on the Modern Rock Tracks chart in late 2005.",When did Over My Head reach top 40?,,
3UUIU9GZC55BD4SRCB60PWZCZMLT57,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3MYYFCXHJ37SZ00F49TK95ARJ0I4GS,A3DGA7BHDLXJND,Approved,Fri Feb 26 12:29:58 PST 2016,Fri Feb 26 12:30:38 PST 2016,Sat Feb 27 12:30:38 PST 2016,Fri Feb 26 14:51:52 PST 2016,,,40,100% (85/85),100% (85/85),100% (85/85),Chasing_Cars-Music_video,"<font color=""blue"">Question</font>: Who  enters a pool of water next to him and in the end of the video, he gets out of the water, rises on his feet and looks up at the camera as it zooms out overhead?<br/><font color=""blue"">Sentence(s)</font>: Gary enters a pool of water next to him and in the end of the video, he gets out of the water, rises on his feet and looks up at the camera as it zooms out overhead.In the US music video, Lightbody is shown lying down in busy places while singing.","Who did that scene where a guy goes into the water, and then at the end of the video he gets out and looks at the camera overhead?",,
3Z3R5YC0P3N3F1LGINJ9B8QPOGZFTC,30EHNVFQMZ4WJS5A5VJJ6S91K09B1P,Wikipedia question annotation,Paraphrase provided question,text reading writing wikipedia question paraphrasing,$0.08,Fri Feb 26 10:58:31 PST 2016,1,BatchId:2286081;,180,86400,Fri Mar 04 10:58:31 PST 2016,,,3TXWC2NHNZQWMBFIG4JSFR4AT3JS9P,A2PFO43BJ4FR3B,Approved,Fri Feb 26 11:07:25 PST 2016,Fri Feb 26 11:08:52 PST 2016,Sat Feb 27 11:08:52 PST 2016,Fri Feb 26 14:51:55 PST 2016,,,87,100% (7/7),100% (7/7),100% (7/7),Viva_la_Vida-Critical_response,"<font color=""blue"">Question</font>: Which song was listed number 8 on ""Village Voice""'s Pazz and Jop list?<br/><font color=""blue"">Sentence(s)</font>: ""Viva la Vida"" was also listed at number five on ""Blender""'s 1001 Downloads: The Top 144 Songs of 2008, as well in the number eight position on ""Village Voice""'s Pazz and Jop list.","On ""Village Voice""'s Pazz and Jop list, which song appeared at number 8?",,
