HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.paragraph_id,Input.candidates,Input.content,Answer.QuestionSentencesBox,Answer.QuestionTextBox,Approve,Reject
309D674SHZLWG37PRZ2N38Z0MJ8BCJ,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:31 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:31 PST 2016,,,3DHE4R9OCWBIWMLS0VAWGQDTZZ2G2E,A14BSSXMEM9PTD,Submitted,Tue Mar 01 12:29:40 PST 2016,Tue Mar 01 12:30:18 PST 2016,Wed Mar 02 12:30:18 PST 2016,,,,38,100% (9/9),100% (9/9),0% (0/0),Rolling_in_the_Deep-Music_video,1,"Category: Music<br/>Title: Rolling in the Deep<br/>Section: Music video<br/><br/>1. <strike>The music video for ""Rolling in the Deep,"" directed by Sam Brown, premiered on Channel 4 on 3 December 2010.The video begins in an abandoned house, where Adele is sitting in a chair singing.</strike><br/>2. During the video, the scenes show hundreds of glasses filled with water that vibrate to the beat of a drum, a mysterious person (played by Jennifer White, who also choreographed the sequence) dancing in a room with white flour and dust, the drummer playing the drums behind the stairs, china being thrown and breaking on the wall in front of the staircase, and a white model of a city which is set on fire by five bursting light bulbs at the end of the song.On 20 July 2011, the music video was nominated for seven MTV Video Music Awards, including Video of the Year, Best Female Video, Best Pop Video and Best Direction, and won three for Best Editing, Best Cinematography and Best Art Direction.<br/>3. The video won the Grammy Award for Best Short Form Music Video on 12 February 2012.<br/>",3,"When did ""Rolling in the Deep"" music video won the Grammy Award?",,
3XABXM4AJ15H86J1T5J8WBYGISO8QM,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:32 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:32 PST 2016,,,3NPFYT4IZC4JX2OPOKVP6G7PC86GXS,A7BW5SCFKBUCE,Submitted,Tue Mar 01 12:45:15 PST 2016,Tue Mar 01 12:55:05 PST 2016,Wed Mar 02 12:55:05 PST 2016,,,,590,0% (0/0),0% (0/0),0% (0/0),Gangnam_Style-Production,11,"Category: Music<br/>Title: Gangnam Style<br/>Section: Production<br/><br/>1. The music video is directed by Cho Soo-hyun, who also directed the MV for Psy's follow-up single ""Gentleman"" and the MV for ""This Love"" by Shinhwa.<br/>2. It shows Psy performing a comical horse-riding dance and appearing in unexpected locations around the Gangnam District, such as an outdoor yoga session and a hot tub.<br/>3. He wears several distinctive suits and black sunglasses with a mindset of ""dress classy and dance cheesy"".<br/>4. It features a ""skewering the Gangnam image"" by the ""non-Gangnam Psy""; this parody would be recognizable to viewers familiar with Korean culture.<br/>5. Although there are more than ten different locations featured, only two of the scenes are actually filmed in the Gangnam district.<br/>6. The sauna scene, elevator scene and bathroom scene were filmed elsewhere in the greater Seoul region, and some shots were filmed in World Trade Center Seoul and the Songdo International Business District, which includes Songdo Central Park and International Business District Station.<br/>7. The video was shot over 48 hours in July 2012.In K-pop, it is routine to have cameos by celebrities in a music video, such as in the dance scenes in the elevator and the parking garage.<br/>8. The guests in the music video include:<br/>9. •&nbsp;&nbsp;&nbsp;&nbsp; 4Minute member Hyuna, who dances in the subway car and attracts Psy's attention.<br/>10. •&nbsp;&nbsp;&nbsp;&nbsp; Big Bang members Daesung and Seungri, who play two old men playing a board game in the park; they dive from the park bench after the explosion.<br/>11. •&nbsp;&nbsp;&nbsp;&nbsp;<strike> Hwang Min-woo, a 7-year-old boy who dances at the beginning of the video.</strike><br/>12. During an interview with CNN, Psy stated that ""the night before the music video shoot, I was watching ""Korea's Got Talent"" and saw him dance to Michael Jackson.<br/>13. His moves were ridiculous.<br/>14. So we called him up and asked him to be in the music video, which was shooting the very next day, and he came and it all worked out.""<br/>15. He has been praised for his eye-catching dance moves that have received a lot of attention from viewers.<br/>16. •&nbsp;&nbsp;&nbsp;&nbsp; Comedian/television personality Korea's Nation emcee Yoo Jae-suk, who engages in a dance duel with Psy.<br/>17. •&nbsp;&nbsp;&nbsp;&nbsp; Comedian/television personality Noh Hongchul, who does his trademark pelvis-thrusting dance in an elevator while Psy raps underneath him.<br/><br/>18. The music was composed by Psy and Yoo Gun-hyung, a producer in South Korea who has also collaborated with Psy in the past.</br>19. Yoo also arranged the song while Psy was responsible for the lyrics. <br/>",1,Who is it directed by?,,
3P7RGTLO6ED9GRELDYJPWGS29AVAKZ,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:32 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:32 PST 2016,,,3GDTJDAPVUBTABJ3RFHS3MATHL88MJ,A7BW5SCFKBUCE,Submitted,Tue Mar 01 12:48:34 PST 2016,Tue Mar 01 12:57:12 PST 2016,Wed Mar 02 12:57:12 PST 2016,,,,518,0% (0/0),0% (0/0),0% (0/0),Let_It_Be-Recording_sessions,5,"Category: Music<br/>Title: Let It Be<br/>Section: Recording sessions<br/><br/>1. A week later the band agreed to Harrison's terms for returning to the group, which included abandoning the cold and cavernous soundstage at Twickenham.<br/>2. Sessions resumed on 22 January when the Beatles moved to Apple Studios.<br/>3. Multi-track recording began on that date and continued until 31 January.<br/>4. Harrison brought in keyboardist Billy Preston to ease tensions and supplement the band for the live performances.<br/>5. <strike>Preston worked with the Beatles throughout their stay at Apple Studios.The live concert idea culminated with the Beatles and Preston performing on 30 January on the rooftop of the Beatles' Apple Building at 3 Savile Row before a small audience of friends and employees.</strike><br/>6. The performance was cut short by the police after complaints about noise.<br/>7. The complete concert has circulated among bootleg collectors for many years.<br/>8. Three numbers recorded at the rooftop concert, ""Dig a Pony"", ""I've Got a Feeling"" and ""One After 909"", do appear on the album, while several spoken parts of the concert appear between tracks that were recorded in studio.The band played hundreds of songs during the ""Get Back""/""Let It Be"" sessions.<br/>9. Aside from original songs ultimately released on the ""Let It Be"" album, there were early versions of many songs that appeared on ""Abbey Road"", including ""Mean Mr. Mustard"", ""She Came in Through the Bathroom Window"", ""Sun King"", ""Polythene Pam"", ""Golden Slumbers"", ""Carry That Weight"", ""Something"", ""Maxwell's Silver Hammer"", ""Oh!<br/>10. Darling"", ""Octopus's Garden"", and ""I Want You (She's So Heavy)"".<br/>11. Still others would eventually end up on Beatles' solo albums, including Lennon's ""Jealous Guy"" (called ""Child of Nature"" at the time and originally written and rehearsed for the ""White Album"") and ""Gimme Some Truth"", Harrison's ""All Things Must Pass"", ""Isn't It a Pity"", ""Let It Down"" and ""Hear Me Lord"", and McCartney's ""Another Day"", ""Teddy Boy"", ""Junk"" (originally written for the ""White Album"") and ""The Back Seat of My Car"".<br/>12. Much of the band's attention was focused on a broad range of covers, extended jams on 12-bar blues, and occasional new efforts such as Lennon's uncompleted ""Madman"".<br/>13. These included classical pieces such as Samuel Barber's ""Adagio for Strings"", jazz standards such as ""Ain't She Sweet"", and an encyclopaedic array of songs from the early rock and roll era such as ""Stand By Me"", ""Words of Love"", ""Lonely Sea"", ""Bésame Mucho"" by Mexican composer Consuelo Velázquez (a song that was part of The Beatles' repertoire in the early days) and ""Blue Suede Shoes"".<br/>14. Multiple Bob Dylan songs were also played, including ""Positively 4th Street"", ""All Along the Watchtower"" and ""I Shall Be Released"".<br/>15. Only a handful of these were complete performances; the vast majority were fragmentary renditions with at most a verse or two of misremembered lyrics.<br/>16. The rehearsals and recording sessions were filmed and formed the basis of the Beatles' film of the same name.Two songs appearing on the album were not recorded during the Apple Studios sessions.<br/>17. ""Across the Universe"" had been recorded at EMI Studios in February 1968, and ""I Me Mine"" was not recorded until January 1970 after John Lennon's unannounced departure from the group.<br/>",2,When did the Beatles move to Apple studios?,,
3JAOYN9IHL23087TJDCGSMXUSEI33M,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:31 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:31 PST 2016,,,386PBUZZXFXYOAX1I7D4SZ4IXRALJC,A4T1X0PO5N1G9,Submitted,Tue Mar 01 12:29:05 PST 2016,Tue Mar 01 12:30:44 PST 2016,Wed Mar 02 12:30:44 PST 2016,,,,99,100% (132/132),100% (132/132),100% (132/132),Hey_Jude-Cover_versions,4,"Category: Music<br/>Title: Hey Jude<br/>Section: Cover versions<br/><br/>1. <br/>2. ""Weird Al"" Yankovic included the song in his first polka medley ""Polkas on 45"" from his 1984 album """"Weird Al"" Yankovic in 3-D"".<br/>3. Katy Perry performed a cover of the song as part of the 2012 MusiCares Person of the Year concert honoring McCartney, and in her 2012 film """".<br/>4. <strike>The song was performed by the members of glee club in the 2013 ""Glee"" episode ""Tina in the Sky with Diamonds"" and the soundtrack ""Glee Sings the Beatles"", in which the song is shortened to four minutes and fifty-one seconds.</strike><br/>5. In the late 1960s, famous singer Sinn Sisamouth recorded a Cambodian version of ""Hey Jude"".South African band Dr Victor and the Rasta Rebels included a version on their greatest hits album.<br/>6. Wilson Pickett covered the song in 1968 with pre-Allman Brothers Band session musician Duane Allman on guitar.In the 2011 ""Top Gear"" the song was covered by the ""Top Gear band"" - consisting of presenters Jeremy Clarkson (drums), Richard Hammond (double bass) and James May (keyboard) as well as executive producer Andy Wilman (vocals) - during a trade fair in Delhi.<br/>7. For rights reasons, in the DVD version of the episode it is replaced by ""Sowing the Seeds of Love"" by Tears for Fears.<br/>",2,What was Weird Al's album in 1984?,,
3Y7LTZE0YTMOKVR5J43QJWS9KM0UZH,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:31 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:31 PST 2016,,,3ZV9H2YQQD73EQ7BJ0SJL349Z1SW34,A2L2ZXRHK3SNOP,Submitted,Tue Mar 01 12:30:52 PST 2016,Tue Mar 01 12:32:29 PST 2016,Wed Mar 02 12:32:29 PST 2016,,,,97,0% (0/0),0% (0/0),0% (0/0),I_Want_to_Hold_Your_Hand-Personnel,4,"Category: Music<br/>Title: I Want to Hold Your Hand<br/>Section: Personnel<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;John Lennon – vocal, rhythm guitar, handclaps<br/>2. •&nbsp;&nbsp;&nbsp;&nbsp;Paul McCartney – vocal, bass guitar, handclaps<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;George Harrison – lead guitar, handclaps<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;<strike>Ringo Starr – drums, handclaps</strike><br/>5. •&nbsp;&nbsp;&nbsp;&nbsp;Personnel per Ian MacDonald<br/>","1, 2",Who performed the vocals for I Want to Hold Your Hand?,,
34R0BODSP1Z9OLAUMGH5QAZBXZZE5E,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:32 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:32 PST 2016,,,37Z929RLG98F6QOWEAO96R5MNNBTS5,A36USZNWDMW7QF,Submitted,Tue Mar 01 12:44:26 PST 2016,Tue Mar 01 12:45:49 PST 2016,Wed Mar 02 12:45:49 PST 2016,,,,83,0% (0/0),0% (0/0),0% (0/0),Every_Breath_You_Take-Abstract,"1, 2, 3, 4, 7, 9, 10","Category: Music<br/>Title: Every Breath You Take<br/>Section: Abstract<br/><br/>1. <strike>""Every Breath You Take"" is a song by The Police on the band's 1983 album ""Synchronicity"", written by Sting.</strike><br/>2. <strike>The single entered the charts at position 36 on 4 June 1983.</strike><br/>3. <strike>The single was one of the biggest hits of 1983, topping the Billboard Hot 100 singles chart for eight weeks and the UK Singles Chart for four weeks.</strike><br/>4. <strike>It also topped the ""Billboard"" Top Tracks chart for nine weeks.At the 26th Annual Grammy Awards the song was nominated for three Grammy Awards including Song of the Year, Record of the Year, and Best Pop Performance by a Duo or Group with Vocals.</strike><br/>5. Sting won Song of the Year while The Police won Best Pop Performance by a Duo or Group with Vocals; however, it did not win Record of the Year.<br/>6. The song ranked No.<br/>7. <strike>84 on the ""Rolling Stone"" list of the 500 Greatest Songs of All Time the highest position of any new wave rock song.</strike><br/>8. It also ranked No.<br/>9. <strike>25 on ""Billboard""'s Hot 100 All-Time Top Songs.</strike><br/>10. <strike>The song is considered to be The Police's signature song, and in 2010 was estimated to generate between a quarter and a third of Sting's music publishing income.In the USA, Every Breath You Take was the best-selling single of 1983 and fifth best-selling single of the decade.</strike><br/>",5,Who won Song of the Year for Every Breath You Take?,,
3EAWOID6MTXRVPAFK0039JR6GMQV0F,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:32 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:32 PST 2016,,,3U5NZHP4LR2SOPH9MZ3QX3XNP98HP2,A36USZNWDMW7QF,Submitted,Tue Mar 01 12:32:00 PST 2016,Tue Mar 01 12:33:17 PST 2016,Wed Mar 02 12:33:17 PST 2016,,,,77,0% (0/0),0% (0/0),0% (0/0),Free_Bird-In_popular_culture,5,"Category: Music<br/>Title: Free Bird<br/>Section: In popular culture<br/><br/>1. The song is included on the rhythm game ""Rock Band 3"" as the hardest song for Guitar and one of the hardest songs for Band.<br/>2. It was previously featured as the final song of ""Guitar Hero II"" and again in '.<br/>3. It is also featured in ' on the radio station K-DST.An all-star band performed the song to conclude the final episode of ""The Tonight Show with Conan O'Brien"".<br/>4. Will Ferrell sang lead vocals, backed by Beck, ZZ Top's Billy Gibbons, Ben Harper, and O'Brien himself on guitar, drummer Max Weinberg and the rest of the shows house band.<br/>5. <strike>Ferrell also played Cowbell.</strike><br/>6. Some commentators found the lyrics especially resonant due to Conan's decision to leave the show rather than allow it to be aired in a later time slot.The song is featured in the movie ""Forrest Gump"", in the scene where Jenny contemplates suicide, and in the climax of the movie ""Duets"", before Reggie sacrifices his life.<br/>7. It is also prominently featured in the finale of Rob Zombie's second film, ""The Devil's Rejects"" and in the film ""Cars"".The song is played by a band called Ruckus (mainly members of My Morning Jacket) in the movie ""Elizabethtown"".The song is featured in ""That 70's Show"" Season 1 Episode 19 ""Prom Night"", ""Freaks and Geeks"" episode 12: ""The Garage Door"", and""Six Feet Under"" Season 2 Episode 8 ""It's the Most Wonderful Time of the Year""The song is played throughout My Name is Earl Season 2 Episode 20 ""Two Balls, Two Strikes""The song is referenced in The Band Perry's song ""Double Heart"" off of their self-titled debut album.Pop group ""Will to Power"" included the song on their 1988 hit, ""Baby, I Love Your Way/Freebird Medley"" which went to #1 on Billboard's Hot 100 chart.The song is used in the ""King of the Hill"" episode ""Tankin' It to the Streets,"" when a distraught, inebriated Bill steals an Army tank.<br/>8. He sings part of the song while in the tank, moments before Hank, Dale, and Boomhauer go into the tank to talk him into taking the tank back to the army base.<br/>9. He also hums the same part at the end.The song is referenced in the ""Gilmore Girls"" episode ""A Deep-Fried Korean Thanksgiving"", season 3 episode 9.<br/>10. Lorelai suggests the song to the piano player at her parents' Thanksgiving party.A segment of the Blue Man Group theatrical show requires a member of the audience to shout out for a request of this song.<br/>",2,Which version of the Guitar Hero video game was Free Bird featured as the final song?,,
3GONHBMNHVY57NMWA2C4SMBF70XMZH,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:32 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:32 PST 2016,,,33M4IA01QG1AMSX34VP15KLWEHDXR1,A14BSSXMEM9PTD,Submitted,Tue Mar 01 12:17:28 PST 2016,Tue Mar 01 12:18:06 PST 2016,Wed Mar 02 12:18:06 PST 2016,,,,38,100% (9/9),100% (9/9),0% (0/0),Counting_Stars-Music_video,1,"Category: Music<br/>Title: Counting Stars<br/>Section: Music video<br/><br/>1. <strike>The music video was filmed on May 10, 2013, in New Orleans, Louisiana, and premiered on May 31, 2013.</strike><br/>2. The video features the band performing the song in a gloomy basement surrounded by hanging light bulbs – which is interspersed with scenes of several people in a Christian revival service.<br/>3. At the end of the video, one of the people in the service falls through the floor, coming through the ceiling of the room the band is performing in.<br/>4. The video also shows clips of an alligator crawling through the basement.<br/>",4,What animal appears in the music video?,,
3BA7SXOG1JQHK7Y16K88118LEEQ8RN,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:32 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:32 PST 2016,,,3RKNTXVS3MYRP9NCI91ADJZOLILA4S,A7BW5SCFKBUCE,Submitted,Tue Mar 01 12:23:42 PST 2016,Tue Mar 01 12:31:39 PST 2016,Wed Mar 02 12:31:39 PST 2016,,,,477,0% (0/0),0% (0/0),0% (0/0),How_to_Save_a_Life-Personnel,1,"Category: Music<br/>Title: How to Save a Life<br/>Section: Personnel<br/><br/>1. •&nbsp;&nbsp;&nbsp;&nbsp;<strike>Isaac Slade - lead vocals, piano</strike><br/>2. •&nbsp;&nbsp;&nbsp;&nbsp;Joe King - guitars, bass, backing vocals<br/>3. •&nbsp;&nbsp;&nbsp;&nbsp;Dave Welsh - guitars<br/>4. •&nbsp;&nbsp;&nbsp;&nbsp;Ben Wysocki - drums, percussion<br/>",4,Who is on drums?,,
382GHPVPHSROI4QXJRHZ2RP06EE347,3HFGFN16MW2VZFT3H55JD6YHFGETEH,Wikipedia question annotation,"Based on a short text, construct a question that can be answered from this text.",text reading writing wikipedia question,$0.10,Tue Mar 01 11:56:32 PST 2016,1,BatchId:2291055;,900,86400,Wed Mar 02 11:56:32 PST 2016,,,3RKNTXVS3MYRP9NCI91ADJZOLIM4AN,A4T1X0PO5N1G9,Submitted,Tue Mar 01 12:30:10 PST 2016,Tue Mar 01 12:41:54 PST 2016,Wed Mar 02 12:41:54 PST 2016,,,,704,100% (132/132),100% (132/132),100% (132/132),Wake_Me_Up_When_September_Ends-Abstract,2,"Category: Music<br/>Title: Wake Me Up When September Ends<br/>Section: Abstract<br/><br/>1. ""Wake Me Up When September Ends"" is a song by American rock band Green Day.<br/>2. <strike>It was released in June 2005 as the fourth single from their seventh album, ""American Idiot"".The song deals with the death of lead singer Billie Joe Armstrong's father, who died when Armstrong was a child.The single peaked at number six in the United States, becoming Green Day's third Top 10 single.</strike><br/>3. It also peaked at #8 in Canada and the UK, while making #13 in Australia.<br/>4. ""Wake Me Up When September Ends"" had sold 1,652,000 copies as of May 2010, and was the second highest selling single in the U.S. from ""American Idiot"", behind only the multi-platinum ""Boulevard of Broken Dreams"".<br/>5. The song ended the streak of Green Day's three consecutive #1 hits on the Modern Rock Tracks chart (American Idiot, Boulevard of Broken Dreams and Holiday), but it hit #2 on the chart almost hitting #1 by Gorillaz Feel Good Inc..<br/>6. The song also hit #2 on the Adult Top 40 and #4 on the Mainstream Top 40.<br/>7. This was the band's most successful song to the adult contemporary market, hitting #13 on its own chart and their only song to chart other than ""Boulevard of Broken Dreams"".<br/>8. The song is certified Silver in the United Kingdom for sales of 200,000 <br/>",8,How many did the song do in sales in the UK?,,
